log10LFUV log10phi_z15 log10phi_z14 log10phi_z13 log10phi_z12 log10phi_z11 log10phi_z10
27.8 -4.16 -3.59 -3.14 -2.78 -2.53 -2.37
28.0 -4.10 -3.64 -3.35 -3.02 -2.92 -2.67
28.2 -4.67 -4.47 -3.64 -3.45 -3.29 -3.19
28.4 -5.07 -4.71 -4.33 -4.29 -4.07 -3.65
28.6 -7.04 -6.01 -4.95 -4.83 -4.60 -4.33
28.8 -7.45 -6.71 -6.29 -5.02 -4.88 -4.56
29.0 nan -7.45 -6.12 -6.06 -5.14 -4.64
29.2 nan -6.20 -7.04 -6.12 -6.04 -4.82
29.4 nan nan nan nan -7.22 -6.68
29.6 nan nan nan nan -7.22 nan
29.8 nan nan nan nan nan -7.22
